City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Longyearbyen,SJ,17.78,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
1,Severo-Kurilsk,RU,32.63,50.6789,156.125,Kak Doma
3,Atuona,PF,78.26,-9.8,-139.0333,Villa Enata
4,Nikolskoye,RU,31.91,59.7035,30.7861,Tourist House - Sablino
6,Atherton,GB,52.9,53.5237,-2.4935,The Mercury Motel
7,Port Elizabeth,ZA,62.89,-33.918,25.5701,39 On Nile Guest House
8,Marawi,PH,72.64,7.9986,124.2928,Derogongan Residence
9,Lata,PT,44.04,40.1629,-8.3327,Casa Maquia
10,Kaitangata,NZ,58.93,-46.2817,169.8464,Kaitangata Motor Camp
11,Mindelo,CV,63.95,16.8901,-24.9804,Hotel Gaudi
12,Mataura,NZ,59.49,-46.1927,168.8643,Ellie's Villa
13,Asau,RO,35.96,46.4333,26.4,Casa Mika Ciobanus
14,Sao Filipe,CV,71.1,14.8961,-24.4956,Hotel Xaguate
15,Paita,PE,72.07,-5.0892,-81.1144,Hotel Náutico de Paita
17,Padang,ID,86.05,-0.9492,100.3543,Mercure Padang
19,Hobart,AU,80.02,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
21,Faya,SA,46.51,18.3851,42.4509,املاك خالد الشعشوع
22,New Norfolk,AU,79.66,-42.7826,147.0587,The Shingles Riverside Cottages
23,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Punta Arenas,CL,51.12,-53.15,-70.9167,Hotel Hain
26,Iquitos,PE,71.19,-3.7481,-73.2472,Cortez Malaga Techy Caroly
27,East London,ZA,70.74,-33.0153,27.9116,Tu Casa
28,Bambous Virieux,MU,82.65,-20.3428,57.7575,Casa Tia Villa
29,Busselton,AU,72.09,-33.65,115.3333,Observatory Guest House
32,Sinnamary,GF,76.48,5.3833,-52.95,ALETHEIA Appartement Sinnamary
33,Mar Del Plata,AR,63.88,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Nanortalik,GL,10.2,60.1432,-45.2371,Hotel Kap Farvel
35,Portland,US,49.21,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
36,Kapaa,US,75.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Bredasdorp,ZA,65.28,-34.5322,20.0403,Bredasdorp Country Manor
38,Rikitea,PF,78.91,-23.1203,-134.9692,People ThankYou
39,Areosa,PT,54.25,41.7178,-8.8571,Hotel Flôr de Sal
40,Ponta Do Sol,PT,62.71,32.6667,-17.1,Hotel do Campo
41,Alofi,NU,78.49,-19.0595,-169.9187,Taloa Heights
42,Port Hedland,AU,84.25,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
44,Tabou,CI,77.74,4.423,-7.3528,hotêl doufoulougou
45,Portachuelo,BO,67.24,-17.35,-63.4,MOTEL
46,Peniche,PT,52.74,39.3558,-9.3811,Hotel Star inn Peniche
48,Kalaleh,IR,45.28,37.3807,55.4916,عطر و ادکلن پارسیس
49,Vaini,TO,78.37,-21.2,-175.2,Keleti Beach Resort
51,Pouebo,NC,82.87,-20.4,164.5667,RIVÂT LODGE
53,Ribeira Grande,PT,59.77,38.5167,-28.7,Quinta da Meia Eira
54,Southampton,GB,52.05,50.904,-1.4043,Leonardo Royal Southampton Grand Harbour
55,Brae,GB,42.71,60.3964,-1.353,Busta House Hotel
56,Bang Sai,TH,96.01,14.2124,100.4966,แพ สนามชัย บางไทร อยุธยา ตกปลา fishing
