City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Longyearbyen,78.2186,15.6401,17.78,95,100,9.13,SJ,2022-02-08 04:53:04,light snow
1,Severo-Kurilsk,50.6789,156.125,32.63,83,60,10.27,RU,2022-02-08 04:56:49,light snow
2,Pevek,69.7008,170.3133,-28.35,98,27,2.28,RU,2022-02-08 05:02:34,scattered clouds
3,Atuona,-9.8,-139.0333,78.26,76,11,15.39,PF,2022-02-08 05:02:35,light rain
4,Nikolskoye,59.7035,30.7861,31.91,99,96,3.47,RU,2022-02-08 05:02:35,overcast clouds
5,Lebyazhye,55.2689,66.4947,8.19,96,76,6.8,RU,2022-02-08 05:02:35,broken clouds
6,Atherton,53.5237,-2.4935,52.9,83,51,8.01,GB,2022-02-08 05:02:36,broken clouds
7,Port Elizabeth,-33.918,25.5701,62.89,94,75,4.61,ZA,2022-02-08 05:00:29,mist
8,Marawi,7.9986,124.2928,72.64,64,97,6.62,PH,2022-02-08 04:55:36,overcast clouds
9,Lata,40.1629,-8.3327,44.04,66,0,5.17,PT,2022-02-08 05:02:36,clear sky
10,Kaitangata,-46.2817,169.8464,58.93,79,1,6.85,NZ,2022-02-08 05:02:37,clear sky
11,Mindelo,16.8901,-24.9804,63.95,88,20,6.91,CV,2022-02-08 05:02:37,few clouds
12,Mataura,-46.1927,168.8643,59.49,43,0,2.46,NZ,2022-02-08 05:02:37,clear sky
13,Asau,46.4333,26.4,35.96,61,100,9.06,RO,2022-02-08 05:02:38,overcast clouds
14,Sao Filipe,14.8961,-24.4956,71.1,76,2,2.24,CV,2022-02-08 05:02:38,clear sky
15,Paita,-5.0892,-81.1144,72.07,77,100,7.65,PE,2022-02-08 05:02:38,overcast clouds
16,Paamiut,61.994,-49.6678,-0.51,94,100,12.55,GL,2022-02-08 05:02:39,light snow
17,Padang,-0.9492,100.3543,86.05,65,97,5.35,ID,2022-02-08 04:55:32,overcast clouds
18,Qaanaaq,77.484,-69.3632,-11.54,68,100,4.7,GL,2022-02-08 05:02:39,overcast clouds
19,Hobart,-42.8794,147.3294,80.02,53,75,12.66,AU,2022-02-08 05:02:31,broken clouds
20,Blagoyevo,63.3667,47.9167,12.47,96,100,4.45,RU,2022-02-08 05:02:39,overcast clouds
21,Faya,18.3851,42.4509,46.51,64,8,3.24,SA,2022-02-08 04:53:00,clear sky
22,New Norfolk,-42.7826,147.0587,79.66,36,73,3.0,AU,2022-02-08 05:02:40,broken clouds
23,Port Blair,11.6667,92.75,82.44,74,40,13.8,IN,2022-02-08 05:02:40,scattered clouds
24,Albany,42.6001,-73.9662,35.15,93,100,3.42,US,2022-02-08 05:02:40,overcast clouds
25,Punta Arenas,-53.15,-70.9167,51.12,71,100,16.87,CL,2022-02-08 05:02:41,overcast clouds
26,Iquitos,-3.7481,-73.2472,71.19,100,100,1.52,PE,2022-02-08 05:02:41,light rain
27,East London,-33.0153,27.9116,70.74,94,0,6.91,ZA,2022-02-08 04:58:06,clear sky
28,Bambous Virieux,-20.3428,57.7575,82.65,78,75,12.66,MU,2022-02-08 05:02:41,broken clouds
29,Busselton,-33.65,115.3333,72.09,69,91,9.48,AU,2022-02-08 05:02:42,overcast clouds
30,Tiksi,71.6872,128.8694,-24.88,99,47,5.44,RU,2022-02-08 05:02:42,scattered clouds
31,Pangnirtung,66.1451,-65.7125,-18.13,92,100,5.73,CA,2022-02-08 05:02:42,overcast clouds
